source_id,source_type,raw_text,source_url,date,company_seed
30,USPTO,"Patent 10538587. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 14853003. Application year: 2015. Location: Basel, nan, CH. CPC sections: C A G. IPC sections: A C G. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 6. Inventors: Joelle Deplazes-Lauber; Christy FRYER; Tiacen Hu; David Jenkins; Konstantin Petropoulos; Philippe Thiel.",https://patents.google.com/patent/US10538587,2020,Novartis
31,USPTO,"Patent 10538718. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15564918. Application year: 2016. Location: Chiyoda, nan, JP. CPC sections: C H. IPC sections: C H. WIPO field: Basic materials chemistry. WIPO sector: Chemistry. Team size: 2. Inventors: Toshiyuki Oie; Kenji Shimada.",https://patents.google.com/patent/US10538718,2020,MITSUBISHI GAS CHEMICAL CO INC
32,USPTO,"Patent 10538863. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15759371. Application year: 2016. Location: Tokyo, nan, JP. CPC sections: D. IPC sections: D. WIPO field: Textile and paper machines. WIPO sector: Mechanical engineering. Team size: 3. Inventors: Akira Ito; Daisuke Sunaga; Kohsuke Togashi.",https://patents.google.com/patent/US10538863,2020,MITSUBISHI GAS CHEMICAL CO INC
33,USPTO,"Patent 10539773. Assignee: AMGEN INC.. Grant year: 2020. Application number: 16113489. Application year: 2018. Location: Thousand Oaks, CA, US. CPC sections: G. IPC sections: G. WIPO field: Optics. WIPO sector: Instruments. Team size: 3. Inventors: Dmitry Fradkin; Graham F. Milne; Thomas Clark Pearson.",https://patents.google.com/patent/US10539773,2020,Amgen
34,USPTO,"Patent 10543215. Assignee: AMGEN INC.. Grant year: 2020. Application number: 15578305. Application year: 2016. Location: Thousand Oaks, CA, US. CPC sections: A. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 2. Inventors: Robert Andrew Donald Scott; Scott Wasserman.",https://patents.google.com/patent/US10543215,2020,Amgen
35,USPTO,"Patent 10543267. Assignee: PFIZER INC.. Grant year: 2020. Application number: 16196150. Application year: 2018. Location: New York, NY, US. CPC sections: A C. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 16. Inventors: Kathrin Ute Jansen; Annaliesa Sybil Anderson; Judith Absalon; Jose Miguel Aste-Amezaga; Johannes Frederik Beeslaar; David Cooper; John Erwin Farley; Leah Diane Fletcher; Shannon Lea Harris; Thomas Richard Jones.",https://patents.google.com/patent/US10543267,2020,Pfizer
36,USPTO,"Patent 10543961. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 16340990. Application year: 2017. Location: Tokyo, nan, JP. CPC sections: B C. IPC sections: B C. WIPO field: Other special machines. WIPO sector: Mechanical engineering. Team size: 2. Inventors: Tomonori Kato; Kenji Kouno.",https://patents.google.com/patent/US10543961,2020,MITSUBISHI GAS CHEMICAL CO INC
37,USPTO,"Patent 10544095. Assignee: PFIZER INC.. Grant year: 2020. Application number: 15749963. Application year: 2016. Location: New York, NY, US. CPC sections: C A. IPC sections: A C. WIPO field: Organic fine chemistry. WIPO sector: Chemistry. Team size: 7. Inventors: Sacha Ninkovic; Michael Raymond Collins; Stefano Crosignani; Andreas Maderna; Indrawan James McAlpine; Stephanie Anne Scales; Martin James Wythes.",https://patents.google.com/patent/US10544095,2020,Pfizer
38,USPTO,"Patent 10544212. Assignee: PFIZER INC.. Grant year: 2020. Application number: 15495172. Application year: 2017. Location: New York, NY, US. CPC sections: C A. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 5. Inventors: Laird Bloom; Karl Nocka; James R. Apgar; Matthew Allister Lambert; Mark A. FARMER.",https://patents.google.com/patent/US10544212,2020,Pfizer
39,USPTO,"Patent 10544395. Assignee: PFIZER INC.. Grant year: 2020. Application number: 15126489. Application year: 2015. Location: New York, NY, US. CPC sections: C. IPC sections: C. WIPO field: Biotechnology. WIPO sector: Chemistry. Team size: 2. Inventors: Gregory Walter HILLER; Bhanu Chandra MULUKUTLA.",https://patents.google.com/patent/US10544395,2020,Pfizer
40,USPTO,"Patent 10544413. Assignee: 10X GENOMICS, INC.. Grant year: 2020. Application number: 16031880. Application year: 2018. Location: Pleasanton, CA, US. CPC sections: C B G. IPC sections: B C G. WIPO field: Measurement. WIPO sector: Instruments. Team size: 4. Inventors: Rajiv Bharadwaj; Michael Schnall-Levin; Anthony Makarewicz; Steven W. Short.",https://patents.google.com/patent/US10544413,2020,10X Genomics
41,USPTO,"Patent 10546665. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 14765186. Application year: 2014. Location: Tokyo, nan, JP. CPC sections: H B C. IPC sections: B H. WIPO field: Surface technology, coating. WIPO sector: Chemistry. Team size: 4. Inventors: Ken Shimomai; Hirotaka Tsuruya; Masahide Sugiyama; Yutaka Nishibayashi.",https://patents.google.com/patent/US10546665,2020,MITSUBISHI GAS CHEMICAL CO INC
42,USPTO,"Patent 10548846. Assignee: GILEAD SCIENCES, INC.. Grant year: 2020. Application number: 15346335. Application year: 2016. Location: Foster City, CA, US. CPC sections: A. IPC sections: A. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 3. Inventors: Benjamin Micah Collman; Lei Hong; Joanna M. Koziara.",https://patents.google.com/patent/US10548846,2020,Gilead Sciences
43,USPTO,"Patent 10548898. Assignee: GILEAD SCIENCES, INC.. Grant year: 2020. Application number: 16239578. Application year: 2019. Location: Foster City, CA, US. CPC sections: A C. IPC sections: A C. WIPO field: Pharmaceuticals. WIPO sector: Chemistry. Team size: 7. Inventors: Ondrej Baszczynski; Milan Dejmek; Yunfeng Eric Hu; Petr Jansa; Eric Lansdon; Richard L. Mackman; Petr Simon.",https://patents.google.com/patent/US10548898,2020,Gilead Sciences
44,USPTO,"Patent 10549279. Assignee: 10X GENOMICS, INC.. Grant year: 2020. Application number: 15977805. Application year: 2018. Location: Pleasanton, CA, US. CPC sections: B C G. IPC sections: B C G. WIPO field: Measurement. WIPO sector: Instruments. Team size: 3. Inventors: Rajiv Bharadwaj; Anthony Makarewicz; Bill Kengli Lin.",https://patents.google.com/patent/US10549279,2020,10X Genomics
45,USPTO,"Patent 10549321. Assignee: NOVARTIS AG. Grant year: 2020. Application number: 16019954. Application year: 2018. Location: Basel, nan, CH. CPC sections: B. IPC sections: B. WIPO field: Chemical engineering. WIPO sector: Chemistry. Team size: 5. Inventors: Gabriela Cocora; Halina Heidrich; Fabian Kern; Axel Heinrich; Volker Lanig.",https://patents.google.com/patent/US10549321,2020,Novartis
46,USPTO,"Patent 10550068. Assignee: MITSUBISHI GAS CHEMICAL COMPANY, INC.. Grant year: 2020. Application number: 15743931. Application year: 2016. Location: Tokyo, nan, JP. CPC sections: C G H. IPC sections: C G H. WIPO field: Optics. WIPO sector: Instruments. Team size: 1. Inventors: Masatoshi Echigo.",https://patents.google.com/patent/US10550068,2020,MITSUBISHI GAS CHEMICAL CO INC
