source_id,source_type,source_url,date,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence,entity_a,entity_b
577,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000040/txg-20250603.htm,Jun-25,CO_OCCURS_WITH,"The final voting results were as follows: Votes For Votes Against Abstentions Broker Non-Votes 215,766,816 312,396 488,346 — Proposal 3 - Non-binding, Advisory Vote to Approve Executive Compensation of Named Executive Officers The Company’s stockholders approved, on a non-binding, advisory basis, the compensation of the Company’s named executive officers as described in more detail in the Company's definitive proxy statement filed with the U.S.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Votes For Votes Against Abstentions Broker Non-Votes,the U.S. Securities and Exchange Commission
577,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000040/txg-20250603.htm,Jun-25,CO_OCCURS_WITH,"The final voting results were as follows: Votes For Votes Against Abstentions Broker Non-Votes 215,766,816 312,396 488,346 — Proposal 3 - Non-binding, Advisory Vote to Approve Executive Compensation of Named Executive Officers The Company’s stockholders approved, on a non-binding, advisory basis, the compensation of the Company’s named executive officers as described in more detail in the Company's definitive proxy statement filed with the U.S.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Advisory,the U.S. Securities and Exchange Commission
598,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36170120/,Feb-23,CO_OCCURS_WITH,The objective of this report is to provide a summary of the clinical experience of different Hemophilia Treatment Centers in managing the switch to rVIII-SingleChain or rIX-FP in patients with hemophilia.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Hemophilia Treatment Centers,rIX-FP
600,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39370961/,Feb-25,CO_OCCURS_WITH,"Adults and adolescents aged ≥12 years with HAE previously participating in phase 2 and pivotal phase 3 (VANGUARD) studies were rolled over to an OLE, alongside newly enrolled patients.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,HAE,VANGUARD
600,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39370961/,Feb-25,CO_OCCURS_WITH,"Adults and adolescents aged ≥12 years with HAE previously participating in phase 2 and pivotal phase 3 (VANGUARD) studies were rolled over to an OLE, alongside newly enrolled patients.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,HAE,OLE
600,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39370961/,Feb-25,CO_OCCURS_WITH,"Adults and adolescents aged ≥12 years with HAE previously participating in phase 2 and pivotal phase 3 (VANGUARD) studies were rolled over to an OLE, alongside newly enrolled patients.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,OLE,VANGUARD
603,PUBMED,https://pubmed.ncbi.nlm.nih.gov/26026936/,Jul-15,CO_OCCURS_WITH,"The annual rate of lung density loss at TLC and FRC combined did not differ between groups (A1PI -1·50 g/L per year [SE 0·22]; placebo -2·12 g/L per year [0·24]; difference 0·62 g/L per year [95% CI -0·02 to 1·26], p=0·06).",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,FRC,TLC
606,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40434599/,Jun-25,CO_OCCURS_WITH,A systematic literature review was conducted to identify randomized controlled trials (RCTs) investigating LTP treatments in patients (at least 12 years old) with HAE (PROSPERO protocol #CRD42022359207).,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,HAE,LTP
606,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40434599/,Jun-25,CO_OCCURS_WITH,"In the absence of head-to-head comparative evidence, indirect comparison methods are needed to compare LTP treatments in patients with HAE.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,HAE,LTP
606,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40434599/,Jun-25,CO_OCCURS_WITH,"The objective of this analysis was to estimate the comparative efficacy, safety, and impact on quality of life of LTP treatments for patients with HAE through NMAs.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,HAE,LTP
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,Adult patients treated with VKA with an elevated INR (≥2.0 within 3 hours before study treatment) who received 4F-PCC or plasma after major bleeding or before an urgent surgery or invasive procedure were included in this retrospective analysis of data from 2 prospective phase 3b randomized controlled trials.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,INR,VKA
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,"However, the relationship between corrected INR and vitamin K-dependent factor (VKDF) levels for hemostasis is uncertain.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,INR,VKDF
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,INR and vitamin K-dependent factor levels after vitamin K antagonist reversal with 4F-PCC or plasma.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,4F-PCC,INR
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,"In the 4F-PCC group, 159 of 185 (85.9%) had an INR ≤1.5 at 30 minutes after the end of infusion compared with only 72 of 184 (39.1%) in the plasma group.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,4F-PCC,INR
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,"This retrospective analysis demonstrated that treatment with 4F-PCC among patients treated with VKA rapidly restores VKDFs to hemostatic levels irrespective of the postinfusion INR value, whereas treatment with plasma does not.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,4F-PCC,VKA
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,"This retrospective analysis demonstrated that treatment with 4F-PCC among patients treated with VKA rapidly restores VKDFs to hemostatic levels irrespective of the postinfusion INR value, whereas treatment with plasma does not.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,4F-PCC,INR
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,"This retrospective analysis demonstrated that treatment with 4F-PCC among patients treated with VKA rapidly restores VKDFs to hemostatic levels irrespective of the postinfusion INR value, whereas treatment with plasma does not.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,INR,VKA
607,PUBMED,https://pubmed.ncbi.nlm.nih.gov/36574241/,May-23,CO_OCCURS_WITH,We aim to examine the impact of 4-factor prothrombin complex concentrate (4F-PCC) or plasma on INR correction and VKDF restoration and evaluate the relationship between INR values and VKDF levels in patients with acute major bleeding or patients requiring an urgent surgical procedure.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,INR,VKDF
609,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40380363/,May-25,CO_OCCURS_WITH,AE-QoL and TSQM II scores were evaluated in comparison with minimal clinically important differences (MCID).,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,AE-QoL,MCID
609,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40380363/,May-25,CO_OCCURS_WITH,Methods: Patients ages ≥12 years and with HAE received garadacimab 200 mg subcutaneously once monthly in the OLE study.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,HAE,OLE
609,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40380363/,May-25,CO_OCCURS_WITH,The AE-QoL MCID was met by 92.1% of patients who were garadacimab naive; 81.6% of patients with previous garadacimab exposure experienced stable AE-QoL scores or further improvements per MCID.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,AE-QoL,MCID
615,PUBMED,https://pubmed.ncbi.nlm.nih.gov/37097356/,Apr-23,CO_OCCURS_WITH,"New-user cohort studies with propensity score matching using 3 US claims databases (Optum Clinformatics, MarketScan, and Medicare).",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Medicare,Optum Clinformatics
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_relaxed,3,Merck,Moderna
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_relaxed,3,Moderna,Sharp & Dohme
620,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger_relaxed,3,Merck,Sharp & Dohme
628,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38811605/,May-24,CO_OCCURS_WITH,"Variants of the GII.4 genotype are typically the most common genotype, and other genotypes cause varying amounts of disease year-to-year, with GII.2, GII.3, and GII.6 most prevalent in recent years.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,GII.2,GII.3
629,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38889247/,Nov-24,CO_OCCURS_WITH,The mRNA-1345 vaccine demonstrated efficacy against respiratory syncytial virus (RSV) disease with acceptable safety in adults aged ≥60 years in the ConquerRSV trial.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,ConquerRSV,RSV
629,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38889247/,Nov-24,CO_OCCURS_WITH,"mRNA-1345 enhanced RSV-A and RSV-B nAbs and preF bAbs in adults (≥60 years) across various subgroups, including those at risk for severe disease, consistent with its demonstrated efficacy in the prevention of RSV disease.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,RSV,nAbs
629,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38889247/,Nov-24,CO_OCCURS_WITH,"mRNA-1345 enhanced RSV-A and RSV-B nAbs and preF bAbs in adults (≥60 years) across various subgroups, including those at risk for severe disease, consistent with its demonstrated efficacy in the prevention of RSV disease.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,RSV,bAbs
