source_id,source_type,source_url,date,entity_a,entity_b,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,Delaware 1-3619,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,I.R.S. Employer,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,Hudson Boulevard East,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,PFE New York Stock Exchange,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,PFE/27 New York Stock Exchange,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,New York Stock Exchange,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,PFE/45 New York Stock Exchange Indicate,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,"Metsera, Inc.",ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,Metsera’s,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
25,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,Pfizer,MET-097i+ amylin,ACQUIRED,"PFIZER INC 8-K pfe-20251113 0000078003 false 0000078003 2025-11-13 2025-11-13 0000078003 us-gaap:CommonStockMember 2025-11-13 2025-11-13 0000078003 pfe:NotesDue20271.000Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20292.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20323.250Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20373.875Member 2025-11-13 2025-11-13 0000078003 pfe:NoteDue20454.250Member 2025-11-13 2025-11-13 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D",acquisition of,sec_document_level_trigger,12
